state,name,picture,href
Pennsylvania,Pat Toomey,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Pat_Toomey_official_photo_%28cropped%29.jpg/95px-Pat_Toomey_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Pat_Toomey
Rhode Island,Jack Reed,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Senator_Jack_Reed_official_photo_%28cropped%29.jpg/95px-Senator_Jack_Reed_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Jack_Reed_(Rhode_Island_politician)
Rhode Island,Sheldon Whitehouse,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Sheldon_Whitehouse%2C_official_portrait%2C_116th_congress.jpg/95px-Sheldon_Whitehouse%2C_official_portrait%2C_116th_congress.jpg,https://en.wikipedia.org/wiki/wiki/Sheldon_Whitehouse
South Carolina,Lindsey Graham,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Lindsey_Graham%2C_official_photo%2C_113th_Congress_%28cropped%29.jpg/95px-Lindsey_Graham%2C_official_photo%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Lindsey_Graham
South Carolina,Tim Scott,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Tim_Scott%2C_official_portrait%2C_113th_Congress_%28cropped_2%29.jpg/95px-Tim_Scott%2C_official_portrait%2C_113th_Congress_%28cropped_2%29.jpg,https://en.wikipedia.org/wiki/wiki/Tim_Scott
South Dakota,John Thune,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/John_Thune%2C_official_portrait%2C_111th_Congress_%28cropped%29.jpg/95px-John_Thune%2C_official_portrait%2C_111th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/John_Thune
South Dakota,Mike Rounds,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Mike_Rounds_official_Senate_portrait_%28cropped%29.jpg/95px-Mike_Rounds_official_Senate_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Mike_Rounds
Tennessee,Lamar Alexander,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Lamar_Alexander_official_photo_%28cropped%29.jpg/95px-Lamar_Alexander_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Lamar_Alexander
Tennessee,Marsha Blackburn,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Marsha_Blackburn%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg/95px-Marsha_Blackburn%2C_official_photo%2C_116th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Marsha_Blackburn
Texas,John Cornyn,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/John_Cornyn_%28cropped%29.jpg/95px-John_Cornyn_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/John_Cornyn
Texas,Ted Cruz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Ted_Cruz_official_116th_portrait_%28cropped%29.jpg/95px-Ted_Cruz_official_116th_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Ted_Cruz
Utah,Mike Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Mike_Lee%2C_official_portrait_%28cropped%29.jpg/95px-Mike_Lee%2C_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Mike_Lee_(American_politician)
Utah,Mitt Romney,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Mitt_Romney_official_US_Senate_portrait_%28cropped%29.jpg/95px-Mitt_Romney_official_US_Senate_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Mitt_Romney
Vermont,Patrick Leahy,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Patrick_Leahy_official_photo_%28cropped%29.jpg/95px-Patrick_Leahy_official_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Patrick_Leahy
Vermont,Bernie Sanders,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Bernie_Sanders_%28cropped%29.jpg/95px-Bernie_Sanders_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Bernie_Sanders
Virginia,Mark Warner,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Mark_Warner_113th_Congress_photo_%28cropped%29.jpg/95px-Mark_Warner_113th_Congress_photo_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Mark_Warner
Virginia,Tim Kaine,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Tim_Kaine_116th_official_portrait_%28cropped%29.jpg/95px-Tim_Kaine_116th_official_portrait_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Tim_Kaine
Washington,Patty Murray,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Patty_Murray%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg/95px-Patty_Murray%2C_official_portrait%2C_113th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Patty_Murray
Washington,Maria Cantwell,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Maria_Cantwell_%28cropped%29.jpg/95px-Maria_Cantwell_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Maria_Cantwell
West Virginia,Joe Manchin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Senator_Manchin_%28cropped%29.jpg/95px-Senator_Manchin_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Joe_Manchin
West Virginia,Shelley Moore Capito,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Shelley_Moore_Capito_official_Senate_photo_%28cropped_2%29.jpg/95px-Shelley_Moore_Capito_official_Senate_photo_%28cropped_2%29.jpg,https://en.wikipedia.org/wiki/wiki/Shelley_Moore_Capito
Wisconsin,Ron Johnson,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Ron_Johnson%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Ron_Johnson%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,https://en.wikipedia.org/wiki/wiki/Ron_Johnson_(Wisconsin_politician)
